ROI_ID	Mean_Thickness(mm)	GM_Volume(mm^3)	CSF_Volume(mm^3)	WM_Volume(mm^3)	Total_Volume(GM+WM)(mm^3)	Cortical_Area_mid(mm^2)	Cortical_Area_inner(mm^2)	Cortical_Area_pial(mm^2)
1	NaN	0.000000	270316.848919	0.000000	270316.848919	0.000000	0.000000	0.000000
2	NaN	667372.517733	0.000000	0.000000	667372.517733	0.000000	0.000000	0.000000
3	0.000000	0.000000	0.000000	531689.360761	531689.360761	0.000000	0.000000	0.000000
120	4.863998	31098.563631	15048.852669	15927.675703	47026.239334	8234.619519	6872.666757	10949.053661
121	5.174967	32391.122669	14181.445468	16751.393907	49142.516576	8316.290208	6654.078862	11343.336236
130	4.615846	15191.799826	6450.365650	7325.235459	22517.035285	4182.149803	3368.539894	5774.008851
131	4.737665	15317.469456	6012.290576	7650.940903	22968.410359	4274.699211	3487.761197	5864.298851
142	4.533996	4310.422445	1589.530031	2221.027786	6531.450231	1246.303564	1048.672707	1652.272645
143	4.495804	4917.809426	1694.271331	2822.939548	7740.748973	1396.979531	1223.111251	1829.294285
144	4.574707	7689.534494	3284.729556	4351.326444	12040.860939	2187.990548	1854.767142	2975.309773
145	4.712539	6564.392651	2613.316006	3414.731749	9979.124400	1853.488427	1610.487782	2477.189387
146	5.184317	1875.276273	712.209897	839.923940	2715.200214	504.601997	475.456043	684.083027
147	4.802117	2451.773888	870.392740	766.253504	3218.027392	665.638378	524.318638	940.014686
150	4.027225	14217.707494	5821.851307	9027.592137	23245.299631	4389.531375	3834.738471	5424.451343
151	3.970797	13175.147425	5186.731989	8183.591443	21358.738868	4031.266692	3695.487290	4811.283060
162	5.640527	2351.043298	1428.469861	923.366993	3274.410291	559.642443	406.460499	824.240580
163	6.082264	2600.093817	1290.821307	929.005031	3529.098848	623.584684	432.092304	1036.225737
164	4.995655	4908.913821	1487.967143	1528.589291	6437.503113	1313.937592	1033.290794	1806.806879
165	4.698941	4588.963731	793.546441	1740.970058	6329.933789	1337.447423	1125.208916	1692.728985
166	4.811277	3186.379024	1120.305685	1477.485478	4663.864501	920.974384	794.885848	1223.271195
167	3.536761	2247.888090	721.221357	1328.120692	3576.008782	822.994640	710.156944	1031.788801
168	5.471561	2719.666585	982.822228	1117.431342	3837.097928	679.173031	622.214750	876.559397
169	5.215096	2452.440887	706.280304	1060.038945	3512.479832	671.121212	615.184070	847.007024
170	4.960244	3286.464505	1252.305211	1313.230473	4599.694978	922.922519	744.810175	1281.624288
171	5.161202	3705.625686	1424.068835	1437.845691	5143.471377	1067.934794	828.596640	1501.286890
172	5.138753	3187.752937	1727.753743	1024.273511	4212.026448	875.810728	590.803771	1291.301234
173	5.425282	2030.585838	812.925339	776.748940	2807.334778	545.809172	370.996848	866.996759
182	4.139012	3459.139181	2060.520017	3271.641085	6730.780266	1115.130222	1130.666023	1277.626744
183	4.242719	3591.989691	1631.773414	2748.257152	6340.246844	1217.383943	1019.108273	1576.184484
184	4.095634	13423.800559	3140.843994	6106.536178	19530.336737	4070.186033	3839.204762	4906.255274
185	4.165129	13523.556468	2788.489274	6962.955008	20486.511477	4676.713997	4490.997277	5704.742720
186	4.498904	180.397507	49.388913	4.293587	184.691094	71.834995	58.890226	96.953753
187	4.740930	92.757616	24.340214	1.272174	94.029790	45.861817	50.300941	45.698893
222	3.741489	12374.810496	6837.358171	7760.232203	20135.042699	4576.951049	3920.635781	5909.252131
223	4.201154	15033.495081	6974.911941	9617.663999	24651.159079	5048.638160	4363.428597	6740.613890
224	4.862000	13553.718755	5039.190325	7114.661749	20668.380505	3759.106117	3357.027554	5049.074926
225	4.898000	13995.987435	5229.582424	7136.360992	21132.348427	3648.534623	2960.293143	5087.412475
226	4.567145	14259.547893	5320.163398	5904.419531	20163.967424	3968.167425	3240.732366	5461.690708
227	4.668510	10501.356463	4523.755224	4192.058933	14693.415396	2894.594415	2217.044671	4055.429415
228	3.971453	10906.374436	5467.762079	5112.014178	16018.388614	3838.092492	3353.195227	5063.826650
229	3.870030	12413.805545	6878.857027	6922.968274	19336.773819	4308.421921	3793.584874	5535.520822
242	4.270988	10066.930180	3627.733309	5075.627117	15142.557296	3066.405993	2672.569961	4107.088431
243	3.952002	10412.217225	3582.838345	6373.895087	16786.112313	3496.243572	3146.350371	4449.048332
310	5.814651	11908.251359	3687.820670	3271.308579	15179.559938	2597.938026	1699.457567	4087.997811
311	5.790229	10761.403074	3371.105103	2597.562363	13358.965437	2171.223536	1264.515793	3679.955915
322	4.509015	13355.951895	5230.610769	5615.448117	18971.400012	3665.632114	3243.030537	4610.573826
323	4.562040	10637.284534	3198.373414	4551.592646	15188.877179	2975.606723	2556.116629	3841.946258
324	4.137120	1629.892843	625.281254	866.336004	2496.228847	571.825110	576.803792	647.738634
325	4.169023	1886.340675	458.174724	992.454709	2878.795384	661.789822	604.114336	785.900771
326	4.834084	16091.859373	4922.358153	5761.343338	21853.202711	4035.516619	3176.877304	5713.876357
327	4.719442	18910.912609	4621.125104	7459.623287	26370.535896	4987.103078	4130.678755	6911.649662
328	5.130643	12109.994650	3050.661386	4278.624591	16388.619241	2810.082144	2209.812090	4026.669107
329	4.877115	13066.964105	3575.745677	5136.040921	18203.005026	3323.206270	2643.882948	4740.105298
