ROI_ID	Mean_Thickness(mm)	GM_Volume(mm^3)	CSF_Volume(mm^3)	WM_Volume(mm^3)	Total_Volume(GM+WM)(mm^3)	Cortical_Area_mid(mm^2)	Cortical_Area_inner(mm^2)	Cortical_Area_pial(mm^2)
1	NaN	0.000000	268833.234390	0.000000	268833.234390	0.000000	0.000000	0.000000
2	NaN	658827.049965	0.000000	0.000000	658827.049965	0.000000	0.000000	0.000000
3	0.000000	0.000000	0.000000	526886.282579	526886.282579	0.000000	0.000000	0.000000
120	4.953890	30123.115926	14626.007713	15060.978291	45184.094217	7784.503431	6404.738381	10354.095923
121	5.205464	31272.205212	13576.711761	15922.774988	47194.980200	7928.734759	6347.913397	10784.801314
130	4.687040	15258.148958	6423.800880	7495.591104	22753.740062	4196.448583	3380.276011	5897.244827
131	4.764551	14622.517723	5844.303580	7245.059591	21867.577314	3977.516865	3233.022681	5464.074003
142	4.385613	4489.968953	1589.027553	2374.483767	6864.452720	1271.730847	1112.611721	1634.064042
143	4.460595	4729.227066	1485.183678	2845.549549	7574.776615	1353.361786	1223.267245	1752.257603
144	4.582699	7838.995886	3486.041222	4291.823396	12130.819282	2218.880087	1837.069941	3042.615937
145	4.696044	6324.958908	2625.045066	3180.926417	9505.885326	1770.668695	1535.767253	2340.052733
146	5.074263	1858.098592	649.341816	844.159700	2702.258292	500.012492	488.222955	633.681052
147	4.721753	2395.435763	823.193252	746.101113	3141.536876	655.881727	517.758632	919.505023
150	4.032483	14425.906081	6111.130565	8986.304307	23412.210387	4432.138331	3849.632102	5474.089507
151	3.850656	12813.013549	4621.364303	7230.472944	20043.486493	4059.378011	3409.094832	5196.203917
162	5.862021	2895.860421	1717.996463	1029.333298	3925.193719	672.601377	453.760786	1051.413024
163	6.331131	2349.642227	1155.037995	890.969920	3240.612146	548.467792	401.959664	899.401572
164	4.893679	4913.134677	1430.242704	1777.602881	6690.737558	1373.451588	1070.894838	1905.422906
165	4.728088	4758.528515	940.709603	2032.052131	6790.580646	1397.117248	1148.675404	1807.573867
166	4.740146	3319.418361	1240.371129	1586.140709	4905.559069	956.804490	811.138627	1268.746591
167	3.492703	2339.660362	829.787562	1419.052224	3758.712587	871.320576	750.381119	1085.325367
168	5.519980	2730.377472	1067.567759	1170.934929	3901.312402	678.381990	610.608448	905.136060
169	5.303400	2741.352953	873.139009	1117.648190	3859.001144	717.753952	629.089824	951.915793
170	4.948605	3487.539634	1259.534104	1402.846460	4890.386094	958.087237	778.364802	1327.837291
171	5.059225	3936.460729	1535.607606	1549.001892	5485.462621	1124.407888	882.499715	1563.344672
172	5.413786	3353.263088	1938.272195	1057.884922	4411.148009	879.018564	583.377555	1328.220072
173	5.413750	1976.657996	795.539159	742.992959	2719.650954	517.206182	340.357138	828.843251
182	4.213601	3467.216897	1923.793704	3218.079676	6685.296573	1091.461353	1093.295982	1266.472808
183	4.329779	3802.578273	1742.567776	2621.054215	6423.632488	1258.009984	1024.100232	1671.259624
184	4.249499	13518.609093	3099.741443	5866.630190	19385.239283	3942.054262	3712.725545	4804.265297
185	4.200400	13408.277222	2509.380142	6938.393373	20346.670595	4594.886531	4401.096147	5645.057198
186	5.752083	165.664831	50.040937	19.704240	185.369071	64.372502	46.978956	95.159741
187	4.976031	121.442629	45.703681	1.763696	123.206324	50.560890	57.132199	50.464012
222	3.745931	12164.560940	6878.365221	7707.364702	19871.925642	4436.657443	3826.416369	5721.308680
223	3.995048	10807.808817	4400.409171	7924.472758	18732.281575	3631.885242	3174.719115	4764.295249
224	4.806809	13516.953983	5268.313579	6709.503260	20226.457243	3568.343718	3210.183491	4683.600505
225	4.184827	11577.650968	3481.722670	6942.817072	18520.468040	3316.660496	2775.146188	4507.957167
226	4.535653	14277.968783	5401.810553	5877.501488	20155.470271	3991.968123	3276.553211	5476.004547
227	4.590067	10254.138934	4121.860453	4067.111208	14321.250143	2833.805917	2169.059602	3938.997722
228	3.948545	10918.613500	5607.836923	5116.640276	16035.253775	3820.001930	3333.342201	5020.218122
229	3.549448	10267.539618	4991.391853	6341.599225	16609.138844	3823.728812	3393.113756	4887.132464
242	4.306889	10189.548635	3895.831276	4864.460700	15054.009336	2974.269559	2547.041889	3995.971401
243	3.980912	10731.309657	3655.156237	6587.634783	17318.944439	3627.263481	3234.557080	4651.678407
310	5.732083	12519.057595	4368.733615	3437.269446	15956.327041	2729.919741	1785.700124	4292.545913
311	6.172942	11845.182050	3635.165509	3059.853039	14905.035089	2182.568585	1192.481062	3794.242012
322	4.492195	12902.971168	4898.703543	5409.486038	18312.457205	3507.088840	3126.091420	4402.383153
