ROI_ID	Mean_Thickness(mm)	GM_Volume(mm^3)	CSF_Volume(mm^3)	WM_Volume(mm^3)	Total_Volume(GM+WM)(mm^3)	Cortical_Area_mid(mm^2)	Cortical_Area_inner(mm^2)	Cortical_Area_pial(mm^2)
1	NaN	0.000000	217981.960285	0.000000	217981.960285	0.000000	0.000000	0.000000
2	NaN	643951.968623	0.000000	0.000000	643951.968623	0.000000	0.000000	0.000000
3	0.000000	0.000000	0.000000	482271.868935	482271.868935	0.000000	0.000000	0.000000
120	4.904969	29829.941084	14213.901711	15743.827690	45573.768774	7854.570399	6378.376468	10759.653342
121	4.901612	25605.676319	11767.246364	12099.236662	37704.912981	6748.777899	5493.866932	9075.655611
130	4.562389	14882.846701	5518.610957	7954.227941	22837.074642	4114.256171	3469.985189	5621.659470
131	4.438018	17705.631185	6312.414291	9241.364926	26946.996111	5067.061943	4324.547225	6751.720985
142	3.994133	3619.248661	1014.339151	2797.144619	6416.393280	1084.974342	1054.391636	1283.621983
143	4.363268	5061.258233	1697.734455	3430.168071	8491.426304	1416.366768	1167.991291	1911.071472
144	4.554890	4580.501378	1904.744336	2320.710868	6901.212247	1346.113722	1108.247566	1832.169545
145	4.827492	4830.522322	1820.038500	2731.287500	7561.809822	1442.505849	1214.755088	1953.535746
146	5.094851	2703.262138	1195.637315	853.204892	3556.467030	663.675852	440.978022	987.139962
147	4.757936	1054.774190	288.866015	360.094938	1414.869128	329.744987	310.838615	474.127413
150	4.092144	14900.356076	6074.815569	8186.496388	23086.852463	4382.595575	3834.178216	5336.876480
151	4.340907	12501.451601	4635.986189	7310.696013	19812.147614	3460.966677	2946.420820	4425.412416
162	4.891234	2899.042128	1262.671963	1264.702291	4163.744419	771.275810	566.796508	1175.685673
163	4.556530	2011.835852	770.474074	931.061284	2942.897136	555.570367	543.785419	660.340234
164	6.225023	3796.450852	1236.108941	1154.618885	4951.069737	804.837124	496.875538	1231.056272
165	4.647777	3893.701167	950.670357	1806.978554	5700.679722	1208.747428	816.726310	1803.336192
166	4.718405	1521.289740	276.013370	488.973791	2010.263531	416.619538	401.886024	520.004039
167	4.399802	3246.617458	834.185618	1248.523012	4495.140470	968.697072	734.409050	1359.453626
168	5.081450	1377.909050	409.265571	616.142635	1994.051685	384.750873	350.361915	462.746489
169	5.496636	2486.301591	807.855263	1005.746126	3492.047717	623.188126	553.949239	850.440958
170	5.230044	1793.171232	472.541751	549.905517	2343.076749	389.011247	305.935165	549.373427
171	4.749497	1655.208419	535.454339	491.955341	2147.163759	405.342306	334.017689	519.924963
172	5.694929	4131.949464	1262.327569	1791.734660	5923.684124	1050.683805	769.323149	1590.596856
173	5.219428	4604.208003	1995.666514	1565.020131	6169.228134	1226.094684	818.525478	1908.267344
182	4.013475	4026.678501	2497.458848	2342.999420	6369.677920	1298.966884	1230.473723	1551.527905
183	4.485478	3582.436306	2443.490312	1926.167387	5508.603693	1099.880061	980.211168	1382.387959
184	4.116410	9644.714416	2725.623647	4613.813208	14258.527625	3141.847031	2753.968402	3970.922507
185	4.413007	10246.434473	2519.587089	5127.852456	15374.286929	3305.767666	3130.762738	4120.218857
186	5.223393	453.861966	75.508862	144.941208	598.803174	117.443620	137.947704	122.011500
187	5.033936	964.854902	80.075172	320.984049	1285.838951	287.922769	308.253580	356.004051
222	3.816168	11223.621360	5560.459198	6215.678873	17439.300233	3869.053382	3223.848307	5060.762368
223	3.842055	12727.736065	6256.331905	7379.271615	20107.007680	4427.704483	3600.871018	6072.344688
224	4.329978	8427.835443	2751.476719	4774.085997	13201.921441	2421.147433	2160.981130	3125.973270
225	4.354032	9924.902835	2659.536634	5285.494477	15210.397311	2852.674170	2441.004382	3919.092701
226	4.479222	14458.116559	3574.443184	6076.423036	20534.539595	3952.110817	3436.835168	5355.199597
227	4.282915	10680.901345	2585.362499	4533.179889	15214.081234	3081.929753	2591.946294	4223.571993
228	4.423397	10159.179688	4944.024299	4636.715603	14795.895291	3182.675280	2509.032333	4574.744328
229	4.195163	12801.850595	5717.870609	5554.681471	18356.532066	4143.659596	3107.887454	5962.768864
242	4.480221	11016.814935	3885.573084	3951.748897	14968.563832	3080.711588	2390.392757	4366.316752
243	5.371700	9180.025702	2779.224187	4548.759944	13728.785646	2500.737308	1868.665707	3894.741513
310	6.412636	7684.794862	1998.072805	1636.796505	9321.591367	1531.238810	857.891860	2623.409231
311	6.442833	7978.127228	2020.901387	1678.406636	9656.533864	1302.505684	700.244884	2291.477874
322	4.573748	13288.574178	4050.848870	5261.335178	18549.909357	3592.836144	3060.763135	4663.001111
323	4.600350	11710.796347	3547.375043	4721.148923	16431.945270	3245.937877	2652.370000	4491.418089
324	4.232526	2366.893942	743.503122	1665.647354	4032.541296	833.993274	817.752940	995.441149
325	4.700980	1917.306750	390.454814	1368.369533	3285.676283	642.898145	598.080051	866.352489
326	4.858134	12353.317953	2443.064360	5059.247626	17412.565579	3082.087769	2615.728883	4155.635384
327	4.803679	15783.219529	2976.384732	7073.063722	22856.283250	4093.885230	3322.140458	5905.551915
328	5.002830	11321.395462	2191.737581	3759.629100	15081.024562	2689.804017	2098.869777	3819.803821
329	6.134311	9559.591210	1915.098781	3160.674190	12720.265400	2018.956688	1345.486883	3145.868138
330	4.437681	9515.006311	788.183965	3929.182689	13444.189000	2486.257223	2212.931834	3197.460143
331	4.771043	9359.375028	1464.007594	3438.250431	12797.625459	1894.372325	1482.410231	2659.914459
342	4.107998	4472.517049	1086.592784	1456.661347	5929.178395	1391.449451	1002.844491	2066.993619
343	5.218849	931.305903	102.151058	351.077219	1282.383122	309.596441	424.591174	293.555681
344	NaN	2671.460003	184.833221	706.787533	3378.247535	0.000000	0.000000	0.000000
345	NaN	2541.554339	317.676584	851.480279	3393.034618	0.000000	0.000000	0.000000
346	NaN	1963.029995	235.262016	395.215819	2358.245814	0.000000	0.000000	0.000000
347	NaN	1794.510234	288.086043	343.331046	2137.841280	0.000000	0.000000	0.000000
422	4.132057	3291.433264	781.287462	1566.496298	4857.929561	1093.385475	809.592732	1542.976980
423	3.560106	3113.189310	817.776369	1804.011633	4917.200943	1238.186895	1050.789405	1671.350744
424	4.361348	4908.343843	688.590708	2184.918941	7093.262784	1518.935924	1318.795251	2009.785640
425	3.796148	4423.374171	782.129971	2057.647783	6481.021954	1425.254152	1294.892746	1807.439342
442	4.135692	3891.373764	620.262904	1514.611523	5405.985287	1165.375069	892.918349	1647.119317
443	4.568802	5237.187577	958.628789	2064.838571	7302.026148	1448.623197	1128.604377	2076.346952
444	4.302144	10081.005790	2037.026110	5253.150539	15334.156329	2993.229119	2378.029532	4171.506647
445	4.060963	9175.801376	1863.611883	4229.032833	13404.834209	2928.697220	2274.741275	4181.401594
446	3.817697	6033.916168	1595.673729	3828.394692	9862.310860	2157.041726	1877.770912	2918.062260
447	3.242671	5090.270868	1291.322188	3757.027550	8847.298418	2052.129172	1916.204421	2468.504034
500	5.628946	6405.430007	689.498307	2181.849691	8587.279698	1624.736937	1701.574685	1985.610997
501	5.442678	6641.687330	1009.971893	1966.929813	8608.617143	1738.525204	1771.413383	2130.415965
612	0.000000	2548.381631	242.492906	1739.119138	4287.500769	0.000000	0.000000	0.000000
613	0.000000	2369.359642	300.031454	1449.631338	3818.990980	0.000000	0.000000	0.000000
614	0.000000	1370.084111	0.404585	2795.083879	4165.167990	0.000000	0.000000	0.000000
615	0.000000	1385.990175	0.370870	3009.302225	4395.292400	0.000000	0.000000	0.000000
616	0.000000	16.398510	-0.000000	1616.846420	1633.244930	0.000000	0.000000	0.000000
617	0.000000	11.105646	0.455158	1555.183926	1566.289571	0.000000	0.000000	0.000000
620	0.000000	107.208472	42.205053	56.737097	163.945569	0.000000	0.000000	0.000000
621	0.000000	130.422658	3.556976	68.180976	198.603634	0.000000	0.000000	0.000000
640	0.000000	2234.996999	484.729607	3706.852794	5941.849793	0.000000	0.000000	0.000000
641	0.000000	2570.374197	310.794437	3941.751963	6512.126160	0.000000	0.000000	0.000000
670	0.000000	87.890641	299.359760	126.131149	214.021790	0.000000	0.000000	0.000000
671	0.000000	111.905671	205.599900	146.665830	258.571501	0.000000	0.000000	0.000000
680	0.000000	86.261451	256.031887	62.027882	148.289333	0.000000	0.000000	0.000000
681	0.000000	105.435611	217.565362	101.270308	206.705919	0.000000	0.000000	0.000000
690	0.000000	44.876993	60.690247	38.073194	82.950187	0.000000	0.000000	0.000000
691	0.000000	42.326289	54.340156	31.013940	73.340229	0.000000	0.000000	0.000000
710	0.000000	82.851543	236.349421	0.000000	82.851543	0.000000	0.000000	0.000000
720	0.000000	1524.334756	6155.824569	323.804837	1848.139593	0.000000	0.000000	0.000000
721	0.000000	1387.524551	8975.895954	259.321562	1646.846113	0.000000	0.000000	0.000000
740	0.000000	781.488743	2714.551039	120.241135	901.729878	0.000000	0.000000	0.000000
760	0.000000	176.370496	853.242613	17.100051	193.470546	0.000000	0.000000	0.000000
780	0.000000	4.316637	14.303419	0.000000	4.316637	0.000000	0.000000	0.000000
800	0.000000	5408.333990	3931.392567	30294.393089	35702.727079	0.000000	0.000000	0.000000
850	0.000000	498.153521	113.794469	6361.263060	6859.416581	0.000000	0.000000	0.000000
900	0.000000	95900.664006	20205.631040	42407.573471	138308.237477	0.000000	0.000000	0.000000
2000	0.000000	19246.001956	14108.715330	149402.464416	168648.466372	0.000000	0.000000	0.000000
